 
Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-02-01,Seattle Kraken,2,Boston Bruins,3,,17850,2:31,
2022-02-01,Arizona Coyotes,3,Colorado Avalanche,2,SO,15345,2:39,
2022-02-01,Calgary Flames,4,Dallas Stars,3,,17567,2:23,
2022-02-01,Toronto Maple Leafs,7,New Jersey Devils,1,,11602,2:28,
2022-02-01,Vancouver Canucks,2,Nashville Predators,4,,17159,2:23,
2022-02-01,Ottawa Senators,1,New York Islanders,4,,15258,2:20,
2022-02-01,Florida Panthers,2,New York Rangers,5,,15942,2:30,
2022-02-01,Winnipeg Jets,1,Philadelphia Flyers,3,,13433,2:24,
2022-02-01,Washington Capitals,4,Pittsburgh Penguins,3,OT,17826,2:43,
2022-02-01,San Jose Sharks,2,Tampa Bay Lightning,3,OT,19092,2:35,
2022-02-01,Buffalo Sabres,2,Vegas Golden Knights,5,,18235,2:27,
2022-02-02,Calgary Flames,4,Arizona Coyotes,2,,9552,2:23,
2022-02-02,Minnesota Wild,5,Chicago Blackhawks,0,,16373,2:15,
2022-02-02,Los Angeles Kings,5,Detroit Red Wings,3,,11553,2:23,
2022-02-02,Seattle Kraken,3,New York Islanders,0,,17255,2:16,
2022-02-02,Edmonton Oilers,5,Washington Capitals,3,,18573,2:26,
2022-02-07,New Jersey Devils,1,Ottawa Senators,4,,500,2:12,
2022-02-07,Carolina Hurricanes,3,Toronto Maple Leafs,4,OT,500,2:39,
2022-02-08,Pittsburgh Penguins,4,Boston Bruins,2,,17850,2:32,
2022-02-08,Vegas Golden Knights,4,Edmonton Oilers,0,,9150,2:18,
2022-02-08,New Jersey Devils,7,Montreal Canadiens,1,,500,2:23,
2022-02-08,Carolina Hurricanes,3,Ottawa Senators,4,,500,2:25,
2022-02-08,Arizona Coyotes,1,Vancouver Canucks,5,,9124,2:21,
2022-02-08,Minnesota Wild,0,Winnipeg Jets,2,,7012,2:23,
2022-02-08,Columbus Blue Jackets,5,Washington Capitals,4,,18573,2:33,
2022-02-09,Vegas Golden Knights,0,Calgary Flames,6,,9639,2:25,
