Column1,Team,GP,W,L,OTL,GF,GA,GF%,xGF,xGA,xGF%,SV%
1,Edmonton Oilers,3,2,1,0,5,4,55.56,6.38,4.01,61.41,92.98
2,Calgary Flames,4,3,1,0,9,6,60,8.72,7.58,53.52,92.94
3,Columbus Blue Jackets,3,1,2,0,1,9,10,4.43,10.36,29.97,89.41
4,New York Islanders,3,2,1,0,7,6,53.85,8.38,6.73,55.46,92.41
5,Los Angeles Kings,3,1,1,1,3,6,33.33,6.38,6.28,50.41,91.67
6,Boston Bruins,3,2,0,1,7,5,58.33,6.93,3.92,63.84,91.67
7,Florida Panthers,3,3,0,0,9,5,64.29,5.9,5.86,50.19,93.06
8,Buffalo Sabres,2,1,1,0,2,5,28.57,2.4,3.65,39.68,89.58
9,Colorado Avalanche,3,1,2,0,5,4,55.56,6.7,6.95,49.08,95.7
10,Toronto Maple Leafs,3,2,0,1,11,8,57.89,9.9,5.7,63.48,88.73
11,Seattle Kraken,3,1,1,1,7,8,46.67,5.03,6.05,45.43,88.06
12,Arizona Coyotes,3,2,1,0,15,7,68.18,5.48,7.93,40.86,92.63
13,Detroit Red Wings,3,0,2,1,4,14,22.22,4.42,7.07,38.44,85.57
14,New Jersey Devils,3,2,1,0,3,4,42.86,8.17,5.37,60.33,94.67
15,Vegas Golden Knights,3,0,3,0,3,6,33.33,6.91,4.09,62.85,88.89
16,Philadelphia Flyers,3,1,2,0,5,4,55.56,5.23,8.22,38.9,95.7
17,Pittsburgh Penguins,2,1,1,0,5,5,50,3.85,3.62,51.54,91.23
18,Anaheim Ducks,3,0,2,1,4,9,30.77,5.24,5.92,46.94,89.16
19,Chicago Blackhawks,3,2,1,0,13,6,68.42,3.89,4.24,47.85,91.67
20,Ottawa Senators,3,2,1,0,6,9,40,6.07,5.74,51.38,87.5
21,St Louis Blues,3,2,1,0,9,3,75,6.33,7.28,46.48,96
22,Dallas Stars,2,0,2,0,4,6,40,3.74,3.69,50.35,88
23,Nashville Predators,3,2,1,0,5,5,50,6.24,5.23,54.44,91.94
24,New York Rangers,3,1,2,0,6,12,33.33,5.88,7.1,45.32,84.42
25,Minnesota Wild,3,2,0,1,9,5,64.29,5.88,4.12,58.79,92.42
26,Tampa Bay Lightning,3,0,3,0,6,8,42.86,6.13,6.78,47.48,89.61
27,Winnipeg Jets,3,2,1,0,7,7,50,7.2,6.83,51.32,90.54
28,Washington Capitals,3,2,0,1,6,7,46.15,5.79,7.94,42.16,91.76
29,Montreal Canadiens,2,0,1,1,5,3,62.5,2.79,4.24,39.68,93.33
30,Vancouver Canucks,2,1,0,1,4,3,57.14,4.89,3.48,58.42,93.48
31,Carolina Hurricanes,2,2,0,0,3,1,75,4.92,3.7,57.06,98.08
32,San Jose Sharks,2,2,0,0,4,2,66.67,4.24,4.78,46.97,96.15
