"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Edmonton Oilers","5","305.8333","2","2","1","2","5","0.500","290","276","51.24","212","224","48.62","162","161","50.15","13","15","46.43","16.58","16.17","50.64","138","143","49.11","83","87","48.82","10","9","52.63","12.05","89.66","61","50","54.95","47","36","56.63","7","5","58.33","14.89","86.11","77","93","45.29","36","51","41.38","3","4","42.86","8.33","92.16","137","114","54.58","75","66","53.19","3","6","33.33","4.00","90.91","8.02","90.68","0.987"
"2","Calgary Flames","6","361.6667","4","1","1","4","9","0.750","342","340","50.15","272","261","51.03","194","190","50.52","24","16","60.00","17.9","17.53","50.52","174","171","50.43","113","112","50.22","20","14","58.82","17.70","87.50","61","59","50.83","48","41","53.93","13","7","65.00","27.08","82.93","113","112","50.22","65","71","47.79","7","7","50.00","10.77","90.14","146","147","49.83","74","72","50.68","4","1","80.00","5.41","98.61","12.37","91.58","1.040"
"3","Columbus Blue Jackets","6","374","2","2","2","1","6","0.500","324","379","46.09","238","289","45.16","172","212","44.79","17","24","41.46","13.77","19.7","41.14","149","195","43.31","81","125","39.32","12","21","36.36","14.81","83.20","49","84","36.84","40","64","38.46","8","15","34.78","20.00","76.56","100","111","47.39","41","61","40.20","4","6","40.00","9.76","90.16","148","169","46.69","78","79","49.68","5","3","62.50","6.41","96.20","9.88","88.68","0.986"
"4","New York Islanders","6","360","3","3","0","3","6","0.500","355","389","47.72","250","285","46.73","185","215","46.25","23","17","57.50","19.47","20","49.33","213","229","48.19","111","129","46.25","16","13","55.17","14.41","89.92","95","76","55.56","68","55","55.28","12","7","63.16","17.65","87.27","118","153","43.54","43","74","36.75","4","6","40.00","9.30","91.89","117","144","44.83","60","77","43.80","4","3","57.14","6.67","96.10","12.43","92.09","1.045"
"5","Carolina Hurricanes","5","308.1","3","1","1","3","7","0.700","300","262","53.38","238","207","53.48","178","164","52.05","11","12","47.83","16.65","14.93","52.72","155","122","55.96","94","80","54.02","10","10","50.00","10.64","87.50","66","65","50.38","46","50","47.92","10","8","55.56","21.74","84.00","89","57","60.96","48","30","61.54","0","2","0.00","0.00","93.33","128","119","51.82","77","75","50.66","1","2","33.33","1.30","97.33","6.18","92.68","0.989"
"6","Detroit Red Wings","5","309.8667","1","3","1","1","3","0.300","248","287","46.36","196","232","45.79","151","178","45.90","14","26","35.00","13.95","14.99","48.20","139","162","46.18","89","99","47.34","13","22","37.14","14.61","77.78","65","66","49.62","55","48","53.40","8","13","38.10","14.55","72.92","74","96","43.53","34","51","40.00","5","9","35.71","14.71","82.35","96","112","46.15","58","72","44.62","1","2","33.33","1.72","97.22","9.27","85.39","0.947"
"7","Ottawa Senators","6","362.5667","2","4","0","2","4","0.333","326","365","47.18","252","266","48.65","186","199","48.31","16","22","42.11","19.02","20.5","48.12","169","202","45.55","102","120","45.95","12","21","36.36","11.76","82.50","80","71","52.98","55","56","49.55","8","13","38.10","14.55","76.79","89","131","40.45","47","64","42.34","4","8","33.33","8.51","87.50","133","143","48.19","73","70","51.05","4","1","80.00","5.48","98.57","8.60","88.94","0.975"
"8","Tampa Bay Lightning","6","360","3","3","0","3","6","0.500","311","326","48.82","241","253","48.79","168","182","48.00","20","22","47.62","16.96","19.44","46.59","171","183","48.31","99","113","46.70","18","18","50.00","18.18","84.07","64","63","50.39","47","51","47.96","10","12","45.45","21.28","76.47","107","120","47.14","52","62","45.61","8","6","57.14","15.38","90.32","128","128","50.00","63","64","49.61","1","3","25.00","1.59","95.31","11.90","87.91","0.998"
"9","Philadelphia Flyers","5","300","2","3","0","2","4","0.400","287","330","46.52","198","240","45.21","154","184","45.56","13","18","41.94","13.54","19.11","41.47","135","167","44.70","80","106","43.01","11","15","42.31","13.75","85.85","53","64","45.30","38","51","42.70","10","8","55.56","26.32","84.31","82","103","44.32","42","55","43.30","1","7","12.50","2.38","87.27","119","138","46.30","58","71","44.96","2","3","40.00","3.45","95.77","8.44","90.22","0.987"
"10","New Jersey Devils","5","301.2","2","3","0","2","4","0.400","328","253","56.45","249","205","54.85","176","140","55.70","13","14","48.15","17.08","13.13","56.55","187","126","59.74","110","74","59.78","10","13","43.48","9.09","82.43","63","48","56.76","42","31","57.53","5","7","41.67","11.90","77.42","124","78","61.39","68","43","61.26","5","6","45.45","7.35","86.05","135","119","53.15","63","61","50.81","2","1","66.67","3.17","98.36","7.39","90.00","0.974"
