"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New York Islanders","9","545","5","3","1","5","11","0.611","509","566","47.35","369","418","46.89","274","319","46.21","32","24","57.14","27.28","29.39","48.14","290","346","45.60","164","204","44.57","24","20","54.55","14.63","90.20","125","116","51.87","92","88","51.11","17","11","60.71","18.48","87.50","165","230","41.77","72","116","38.30","7","9","43.75","9.72","92.24","188","202","48.21","92","105","46.70","5","3","62.50","5.43","97.14","11.68","92.48","1.042"
"2","New York Rangers","8","480.9167","5","3","0","5","10","0.625","405","450","47.37","322","345","48.28","234","258","47.56","28","25","52.83","20.85","25.84","44.67","213","264","44.65","121","162","42.76","22","21","51.16","18.18","87.04","86","114","43.00","66","85","43.71","14","15","48.28","21.21","82.35","127","150","45.85","55","77","41.67","8","6","57.14","14.55","92.21","176","158","52.69","107","81","56.91","5","4","55.56","4.67","95.06","11.97","90.31","1.023"
"3","Edmonton Oilers","8","485.8333","5","2","1","5","11","0.688","482","448","51.83","363","357","50.42","279","256","52.15","30","22","57.69","30.41","25.21","54.67","239","230","50.96","154","131","54.04","26","14","65.00","16.88","89.31","112","82","57.73","89","58","60.54","20","8","71.43","22.47","86.21","127","148","46.18","65","73","47.10","6","6","50.00","9.23","91.78","218","186","53.96","118","111","51.53","4","8","33.33","3.39","92.79","10.75","91.41","1.022"
"4","Calgary Flames","10","604.7833","6","2","2","6","14","0.700","612","557","52.35","484","423","53.36","347","308","52.98","33","23","58.93","30.35","26.1","53.76","302","249","54.81","189","160","54.15","28","18","60.87","14.81","88.75","104","88","54.17","79","62","56.03","17","10","62.96","21.52","83.87","198","161","55.15","110","98","52.88","11","8","57.89","10.00","91.84","274","265","50.83","146","131","52.71","5","3","62.50","3.42","97.71","9.51","92.53","1.020"
"5","Columbus Blue Jackets","9","554","4","3","2","3","10","0.556","501","541","48.08","387","413","48.38","290","304","48.82","29","36","44.62","25.6","27.99","47.77","241","273","46.89","148","177","45.54","20","32","38.46","13.51","81.92","90","115","43.90","74","89","45.40","15","23","39.47","20.27","74.16","151","158","48.87","74","88","45.68","5","9","35.71","6.76","89.77","219","239","47.82","122","113","51.91","8","4","66.67","6.56","96.46","10.00","88.16","0.982"
"6","Carolina Hurricanes","9","553.1","4","3","2","4","10","0.556","560","447","55.61","437","351","55.46","313","276","53.14","21","23","47.73","28.42","24.53","53.67","269","210","56.16","158","133","54.30","20","17","54.05","12.66","87.22","120","98","55.05","79","73","51.97","14","11","56.00","17.72","84.93","149","112","57.09","79","60","56.83","6","6","50.00","7.59","90.00","256","199","56.26","139","124","52.85","1","5","16.67","0.72","95.97","6.71","91.67","0.984"
"7","Detroit Red Wings","8","489.8667","2","5","1","2","5","0.313","426","484","46.81","322","389","45.29","240","296","44.78","20","36","35.71","22.07","25.24","46.65","224","261","46.19","132","165","44.44","17","32","34.69","12.88","80.61","99","102","49.25","80","75","51.61","12","22","35.29","15.00","70.67","125","159","44.01","52","90","36.62","5","10","33.33","9.62","88.89","174","195","47.15","97","119","44.91","3","2","60.00","3.09","98.32","8.33","87.84","0.962"
"8","Ottawa Senators","10","602.5667","3","7","0","3","6","0.300","577","563","50.61","436","417","51.11","319","310","50.72","26","38","40.63","30.17","32.49","48.15","291","303","48.99","173","184","48.46","21","34","38.18","12.14","81.52","127","107","54.27","85","84","50.30","12","18","40.00","14.12","78.57","164","196","45.56","88","100","46.81","9","16","36.00","10.23","84.00","238","225","51.40","127","108","54.04","4","2","66.67","3.15","98.15","8.15","87.74","0.959"
"9","Tampa Bay Lightning","9","540","5","4","0","5","10","0.556","490","506","49.20","391","390","50.06","273","292","48.32","27","28","49.09","27.76","30.36","47.76","271","276","49.54","157","173","47.58","24","22","52.17","15.29","87.28","101","100","50.25","73","83","46.79","14","16","46.67","19.18","80.72","170","176","49.13","84","90","48.28","10","6","62.50","11.90","93.33","197","202","49.37","104","109","48.83","2","5","28.57","1.92","95.41","9.89","90.41","1.003"
"10","Philadelphia Flyers","9","542.1667","3","5","1","3","7","0.389","494","612","44.67","357","436","45.02","275","325","45.83","23","32","41.82","24.84","30.87","44.59","237","294","44.63","146","176","45.34","21","25","45.65","14.38","85.80","96","111","46.38","73","81","47.40","17","13","56.67","23.29","83.95","141","183","43.52","73","95","43.45","4","12","25.00","5.48","87.37","209","267","43.91","106","130","44.92","2","6","25.00","1.89","95.38","8.36","90.15","0.985"
